Customer_ID,Order_Count,Total_Revenue,Total_Items,Segment
12346.0,13,77561.91,74288,VIP
12347.0,8,4921.53,2967,Regular
12348.0,6,3588.43,3118,Regular
12349.0,5,4444.43,1639,Regular
12350.0,1,334.40000000000003,197,One-Time
12351.0,1,300.93,261,One-Time
12352.0,11,4584.36,1153,VIP
12353.0,2,406.76,212,Occasional
12354.0,1,1079.4,530,One-Time
12355.0,2,947.61,543,Occasional
12356.0,6,6371.7300000000005,3416,Regular
12357.0,3,18287.66,6587,Occasional
12358.0,5,3887.07,1079,Regular
12359.0,10,8873.39,2739,Regular
12360.0,8,4252.89,2459,Regular
12361.0,5,517.89,239,Regular
12362.0,17,8276.0,2669,VIP
12363.0,2,552.0,408,Occasional
12364.0,4,1313.1,1506,Regular
12365.0,2,641.38,174,Occasional
12366.0,1,500.24,296,One-Time
12367.0,1,168.9,173,One-Time
12368.0,1,917.7,330,One-Time
12369.0,5,7007.91,2288,Regular
12370.0,7,4316.56,2604,Regular
12371.0,5,4067.38,1436,Regular
12372.0,3,1298.04,794,Occasional
12373.0,3,1127.65,516,Occasional
12374.0,4,2989.2200000000003,1362,Regular
12375.0,2,457.5,178,Occasional
12376.0,3,5250.9,1181,Occasional
12377.0,4,3426.32,2105,Regular
12378.0,3,5431.3,3318,Occasional
12379.0,4,1620.22,815,Regular
12380.0,12,11172.34,3967,VIP
12381.0,5,1845.31,808,Regular
12383.0,6,3148.96,1533,Regular
12384.0,2,585.27,126,Occasional
12385.0,2,6251.21,1706,Occasional
12386.0,2,401.9,354,Occasional
12387.0,1,143.94,134,One-Time
12388.0,10,6854.96,2695,Regular
12389.0,3,1433.33,614,Occasional
12390.0,1,549.84,353,One-Time
12391.0,6,2724.84,1204,Regular
12392.0,1,234.75000000000003,73,One-Time
12393.0,7,2401.4,1312,Regular
12394.0,2,1272.48,819,Occasional
12395.0,17,4732.17,3209,VIP
12396.0,1,931.4300000000001,591,One-Time
12397.0,2,2409.9,1263,Occasional
12398.0,1,1635.6599999999999,1394,One-Time
12399.0,7,1962.3,2198,Regular
12400.0,1,205.25,91,One-Time
12401.0,1,84.3,11,One-Time
12402.0,6,1256.9,584,Regular
12403.0,3,3821.28,824,Occasional
12404.0,1,63.24,1,One-Time
12405.0,1,1710.39,857,One-Time
12406.0,7,8091.37,3873,Regular
12407.0,5,1708.12,1416,Regular
12408.0,8,4340.77,2229,Regular
12409.0,7,23419.29,13143,Regular
12410.0,4,2761.54,775,Regular
12411.0,1,346.9,138,One-Time
12412.0,6,2596.93,1997,Regular
12413.0,4,999.45,319,Regular
12414.0,6,952.4100000000001,495,Regular
12415.0,32,145360.3,91596,VIP
12416.0,1,202.56,132,One-Time
12417.0,20,6797.41,2884,VIP
12418.0,5,2375.2,1226,Regular
12419.0,2,503.01,231,Occasional
12420.0,1,600.39,345,One-Time
12421.0,6,1098.6,652,Regular
12422.0,18,5233.45,2597,VIP
12423.0,10,2622.39,1793,Regular
12424.0,4,3340.0299999999997,2025,Regular
12425.0,2,1741.41,1147,Occasional
12426.0,2,1345.21,584,Occasional
12427.0,4,2159.93,683,Regular
12428.0,9,7956.46,3536,Regular
12429.0,8,6204.41,2890,Regular
12430.0,1,256.4,117,One-Time
12431.0,28,10497.37,4704,VIP
12432.0,5,5059.32,1801,Regular
12433.0,12,25461.48,15854,VIP
12434.0,3,1103.43,532,Occasional
12435.0,7,20632.64,4959,Regular
12436.0,1,509.01,211,One-Time
12437.0,41,12713.3,8014,VIP
12438.0,2,2906.85,1180,Occasional
12439.0,2,1142.88,478,Occasional
12440.0,2,859.2,331,Occasional
12441.0,1,173.55,121,One-Time
